Country,Year,Area,Location,Activity,Sex,Age,Injury,Fatal_Y_N,Species,Month
AUSTRALIA,2011,New South Wales,Maroubra,Surfing,M,14,Minor injuries to left leg ,N,Wobbegong shark,12
USA,2011,Oregon,Seaside Cove,Surfing,F,0,Minor injury to calf ,N,other,12
AUSTRALIA,2011,New South Wales,Broken Head,Surfing,M,63,Torn shoulder ligament as result of collision with shark,N,other,12
INDONESIA,2011,Bali,Tabanan,Surfing,M,18,Lacerations to right hand,N,other,11
AUSTRALIA,2011,Queensland,Peregian,Swimming,M,10,Puncture marks to foot,N,Wobbegong shark?,11
PAPUA NEW GUINEA,2011,East New Britain,Pigeon Island,Scuba diving,M,0,"No injury, shark collided with diver",N,other,11
BRAZIL,2011,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,35,Legs bitten,N,other,11
REUNION,2011,Bois-Blanc ,Sainte-Rose,Free diving / spearfishing,M,42,Left foot bitten,N,other,11
USA,2011,California,"Marina State Beach, Monterey County",Surfing,M,27,"Lacerations to right wrist, foream & neck",N,White shark,10
SCOTLAND,2011,Moray,Spey Bay,Surfing,M,26,"No injury, shark bumped leg & board. ",N,8' to 10' shark,10
AUSTRALIA,2011,Western Australia,Rottnest Island,Diving,M,32,FATAL,Y,"White shark, 10'",10
USA,2011,Oregon,"Newport, Lincoln County",Surfing,M,41,"No injury, shark bit surfboard",N,"White shark, 15'",10
AUSTRALIA,2011,Victoria,Elwood Beach,Diving,M,50,Small bruise to calf,N,"Port Jackson shark, 1m",10
USA,2011,Florida,Cape Canaveral,Surfing,M,0,Foot bitten,N,3' shark,10
USA,2011,Oregon,Seaside,Surfing,M,0,No injury,N,10' to 12' shark,10
AUSTRALIA,2011,Western Australia,Cottesloe Beach,Swimming,M,64,FATAL,Y,other,10
USA,2011,Florida,"Santa Maria Island, Manatee County",Wade fishing,M,0,Minor injury to thigh,N,other,10
USA,2011,Alabama,"Gulf Shores, Baldwin County",other,M,29,Lacerations to right wrist and middle finger,N,other,10
SOUTH AFRICA,2011,Western Cape Province,Clovely Beach,Swimming,M,43,"Right leg severed, left leg lacerated",N,White shark,9
USA,2011,Florida,"Santa Maria Island, Manatee County",Spearfishing,M,21,Laceration to left thigh,N,"Bull shark, 6'",9
USA,2011,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,M,5,Laceration to left thigh,N,other,9
REUNION,2011,Saint-Gilles,Boucan-Canot,Body boarding,M,38,FATAL,Y,other,9
KENYA,2011,Coast Province,"Mama Ngina Beach, Mombasa ",Swimming,M,17,FATAL,Y,other,9
USA,2011,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,N,4' to 6' shark,9
USA,2011,California,"Samoa Beach, Humboldt County",Surfing,M,37,"No injury, board bitten",N,other,9
PAPUA NEW GUINEA,2011,Central Province,"Hula, near Port Moresby",Kite Surfing,M,30,Lacerations to right leg,N,"Tiger shark, 2m",9
USA,2011,Hawaii,"Nimitz State Beach, Oahu",Surfing,UNKNOWN,0,"No injury, shark bit surfboard",N,other,9
AUSTRALIA,2011,Western Australia, Bunker Bay,Body boarding,M,21,FATAL,Y,White shark,9
USA,2011,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Lacerations to ankle & foot,N,"6' shark, possibly a blactip or spinner shark",9
USA,2011,Florida,Crescent Beach St. Johns County,Surfing,M,19,Lacerations to lower leg,N,6' shark,8
USA,2011,Texas,"Grass Island, Aransas County",Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,other,8
RUSSIA,2011,Primorsky Krai,Slavyanka,"Standing, collecting sea stars",M,0,Superficial laceration to shoulder,N,other,8
USA,2011,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,N,other,8
USA,2011,North Carolina,Holden Beach. Brunswick County,other,M,10,Heel bitten,N,other,8
SOUTH AFRICA,2011,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,49,FATAL,Y,"White shark, >6'",8
RUSSIA,2011,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,16,"Lacerations to hip, thigh and knee",N,other,8
USA,2011,North Carolina,"Kure Beach, New Hanover County",Wading,F,20s,Lacerations to foot,N,Possibly a 5' to 6' sandtiger shark,8
RUSSIA,2011,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,Swimming,M,25,Hands severed,N,4 m shark,8
FRENCH POLYNESIA,2011,Society Islands,"Teahupoo, Tahiti",Surfing,M,32,"No injury, board bitten",N,Grey reef shark ,8
USA,2011,Puerto Rico, Vieques,Floating ,M,27,Lacerations to  lower right leg and foot,N,other,8
SEYCHELLES,2011,Praslin,Anse Lazio ,Swimming or Snorkeling,M,30,FATAL,Y,"Bull shark, 6'",8
USA,2011,North Carolina,Beaufort Inlet,Swimming,M,54,Lower right leg bitten,N,other,8
SEYCHELLES,2011,Praslin,Anse Lazio ,Diving,M,36,FATAL,Y,other,8
USA,2011,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,M,0,"No injury, shark bit boot",N,other,7
SOUTH AFRICA,2011,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,29,Upper left arm & right leg bitten,N,"White shark, 3m to 4m",7
USA,2011,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,F,6,Lower right leg & foot bitten,N,other,7
USA,2011,Texas,"South Padre Island, Cameron County",Surf fishing,M,0,Lacerations to left foot,N,other,7
BAHAMAS,2011,Grand Bahama Island,Off Lucaya,Scuba diving,M,54,Injuries to arm,N,other,7
USA,2011,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,12,Foot bitten,N,other,7
USA,2011,Texas,"Mustang Island, Nueces County",Wade Fishing,M,14,Lacerations to right foot,N,other,7
REUNION,2011,Saint-Gilles,Roches Noires,Surfing,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,N,other,7
COLUMBIA,2011,Sucre,"Libertad, San Onofre",Kayaking,M,17,"Right arm bitten, defense wounds to left hand",N,other,7
TURKS & CAICOS,2011,Middle Caicos,Mudjin Harbor,Snorkeling,M,28,Lacerations to left shoulder and back,N,other,6
BRAZIL,2011,Pernambuco,Praia do Pina,Surfing,M,21,Lacerations to right thigh,N,other,6
SOUTH AFRICA,2011,KwaZulu-Natal,Aliwal Shoal,Scuba diving,M,22,Severe lacerations to hands and  left leg,N,"Bull shark, 3m female",6
USA,2011,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,10,Ankle bitten,N,"Bull shark, 6'",6
USA,2011,California,"San Onofre State Beach, San Diego County",Surfing,M,0,Shark leapt onto surfboard; surfer uninjured ,N,"White shark, 5' k",6
USA,2011,Florida,"Perdido Key, Escambia County",Jet skiing,M,20,Lacerations to foot and ankle,N,other,6
TURKS & CAICOS,2011,Caicos Bank,French Cay,Spearfishing,M,35,Right calf bitten,N,5' shark,6
COSTA RICA,2011,Guanacaste,Playa Grande,Surfing,M,15,FATAL,Y,other,6
REUNION,2011,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,M,31,FATAL,Y,other,6
USA,2011,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,M,28,Lacerations to right calf,N,"Blacktip shark, 4'",6
COLUMBIA,2011,San Andrés archipelago,Albuquerque Cay,Spearfishing,M,24,Injuries to right hand and forearm,N,other,6
USA,2011,California,"La Jolla, San Diego County",Spearfishing,M,28,"No injury, minor damage to wetsuit",N,"Sevengill shark, 6' to 8'",6
USA,2011,Florida,"New Smyrna Beach, Volusia County",Wading,M,19,Puncture wound to calf,N,3' to 4' shark,6
MALAYSIA,2011,Kedah,Palau Payar,Snorkeling,F,0,Laceration to dorsum of right foot,N,Blacktip reef shark ,6
USA,2011,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,F,22,Lacerations & punctures to right thigh ,N,other,5
SOUTH AFRICA,2011,Western Cape Province,Robberg Beach,Surfing,M,33,"No injury, board bumped by shark",N,White shark,5
USA,2011,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,0,"No injury, board bitten",N,"Tiger shark, 10'",5
USA,2011,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,0,"No injury, board bitten",N,Tiger shark,5
SOUTH AFRICA,2011,KwaZulu-Natal,Levan Point,Spearfishing,M,28,"Thigh bitten, FATAL",Y,Zambesi shark,5
USA,2011,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,86,Lacerations to left foot & ankle,N,other,5
NEW CALEDONIA,2011,North Province,Kendec,Kite Boarding,M,15,"Thigh bitten, FATAL",Y," Tiger shark, 2.8m",5
USA,2011,Florida,"Ormond Beach, Volusia County",Surfing,M,37,Minor injury; puncture wounds to calf,N,other,5
SOUTH AFRICA,2011,KwaZulu-Natal,Palm Beach,Spearfishing,M,37,Calf bitten,N,other,5
USA,2011,Florida,"Riviera Beach, Palm Beach County",Spearfishing,M,32,Calf bitten,N,"Bull shark, 12'",4
AUSTRALIA,2011,Western Australia,Red Bluffs,Washing sand off a speared fish,M,17,Heel bitten,N,"reef shark, 1.5m",4
USA,2011,Florida,"New Smyrna Beach, Volusia County",Surfing ,M,49,Minor puncture wounds,N,1' to 2' shark,4
NEW ZEALAND,2011,South Island,Snapper Point,Surfing,M,41,Puncture to left hand,N,possibly a bronze whaler shark,4
INDONESIA,2011,Bali,Balian,Surfing,M,0,Lacerations to forearm,N," Bull shark, 2.5 m",4
FIJI,2011,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,N,other,4
MEXICO,2011,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,0,Lower leg & foot bitten,N,Bull shark,3
AUSTRALIA,2011,New South Wales,Crowdy Head,Surfing,M,48,Severe injury to left forearm,N,"Bull shark, 2.5m",3
MEXICO,2011,Quintana Roo,other,Swimming,M,46,Right foot bitten,N,other,3
FIJI,2011,other,Nukudamu ,Diving / fishing,M,30,"Left forearm severely bitten, surgically amputated",N,other,3
AUSTRALIA,2011,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,3 m to 4 m shark,3
AUSTRALIA,2011,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,0,"No injury, surboard broken",N,other,3
NEW CALEDONIA,2011, Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,M,21,Lacerations to left forearm,N,1.5 m shark,2
REUNION,2011,Saint Gilles ,Trois-Roches,Surfing,M,32,Left leg severed at the knee,N,other,2
AUSTRALIA,2011,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,49,FATAL,Y,White shark x 2,2
AUSTRALIA,2011,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,other,2
SOUTH AFRICA,2011,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,37,Right leg bitten,N,other,2
MEXICO,2011,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",N,6' shark,1
BAHAMAS,2011,West End,Tiger Beach,Scuba diving,M,55,Arm bitten ,N,Caribbean reef shark,1
SOUTH AFRICA,2011,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,other,1
MEXICO,2011,Quintana Roo,Xcalak ,Attempting to fix motor,M,37,Bitten on leg and groin,N,other,1
USA,2010,Hawaii," Kahului, Maui",Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,6' shark,12
FIJI,2010,Vitu Levu,Sigatoka,Surfing,M,0,Lacerations to  foot,N,other,12
USA,2010,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,N,other,12
EGYPT,2010,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,"Oceanic whitetip shark, 2.5m ",12
INDONESIA,2010,Bali,Balian,Surfing,M,0,Lacerations to right hand,N,other,12
EGYPT,2010,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,N,Mako shark ,12
EGYPT,2010,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,N,Mako shark,12
EGYPT,2010,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,"Oceanic whitetip shark, 2.5m, female",11
EGYPT,2010,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,N,"Oceanic whitetip shark, 2.5m, female",11
SAMOA,2010,other,other,Fishing,M,47,Serious wounds to chest,N,other,11
DOMINICAN REPUBLIC,2010,other,Boca Chica,Diving,M,21,FATAL,Y,other,11
INDONESIA,2010,Bali,Balian,Surfing,M,0,Hand bitten ,N,other,11
AUSTRALIA,2010,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,White shark,10
AUSTRALIA,2010,Western Australia,Cheynes Beach,Spearfishing,M,0,"No injury, shark head-butted diver's thigh",N,other,10
USA,2010,Oregon,Florence,Surfing,M,0,No injury to surfer,N,other,10
USA,2010,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,30,"No injury to diver, shark bit his video camera",N,"Porbeagle shark, 8' ",10
AUSTRALIA,2010,Western Australia,Wedge Island,Kite Surfing,M,14,Lacerations to lower right leg,N,other,10
USA,2010,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,19,FATAL,Y,"White shark, 14' to 18' ",10
EGYPT,2010,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,F,0,Multiple lacerations to left leg and foot,N,other,10
AUSTRALIA,2010,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,N,"Bull shark, 1.4m ",10
BAHAMAS,2010,Exuma Islands,other,Snorkeling,M,0,Calf bitten,N,Lemon shark,10
BAHAMAS,2010,Abaco Islands,Elbow Cay,Surfing,F,0,Bitten between left ankle & knee,N,Possibly a 6' lemon shark,10
SOUTH AFRICA,2010,Western Cape Province,"Melkbaai, Strand",Surfing,M,Teen,3 lacerations to foot,N,other,10
USA,2010,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",N,White shark,9
USA,2010,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,N,other,9
SOUTH AFRICA,2010,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,Y,White shark,9
AUSTRALIA,2010,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,2m shark,9
USA,2010,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,3' shark,9
TONGA,2010,Ha'api ,other,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,N,other,9
USA,2010,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0,"No injury, shark charged surfboard",N,other,9
USA,2010,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand ,N,other,9
USA,2010,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,N,other,9
SOLOMON ISLANDS,2010,Western Province,other,other,M,34,Lacerations to face and neck,N,other,9
USA,2010,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10,Minor injuries to foot,N,other,8
AUSTRALIA,2010,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,Y,White shark,8
SOUTH KOREA,2010,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,N,other,8
AUSTRALIA,2010,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,N,other,8
USA,2010,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,N,other,8
MALTA,2010,other,"Off Fort St. Elmo, Valetta",Windsurfing,M,35,"No injury, sail bitten",N,3 m shark,8
USA,2010,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,3' to 4' shark,8
USA,2010,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,4' shark,7
USA,2010,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Left foot bitten,N,other,7
USA,2010,South Carolina,Myrtle Beach,Swimming,M,10,Minor lacerations to left calf,N,Possibly a small blacktip shark,7
USA,2010,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,Lacerations to right forearm,N,"Sandtiger shark, 4' to 5'",7
USA,2010,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,N,A small spinner shark,7
USA,2010,Texas,Galveston,Fishing,M,0,Leg bitten,N,other,7
SOUTH AFRICA,2010,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,N,other,7
USA,2010,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,Laceration to left foot,N,4' shark,7
USA,2010,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,48,"No injury, board bumped by shark",N,8' shark,7
USA,2010,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,Lacerations to right foot,N,"Bull shark, 5'",6
USA,2010,South Carolina,Fripp Island,Boogie Boarding,F,6,Laceration to leg,N,other,6
USA,2010,North Carolina,"Topsail Island, Pender County",Swimming,F,13,Laceration to left foot,N,other,6
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,Swimming,M,17,Laceration to left foot,N,1 m shark,6
USA,2010,Florida,Jacksonville,Boogie Boarding,F,18,Lacerations to left calf and foot,N,4' shark,6
AUSTRALIA,2010,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,Severe laceration to right knee,N,other,6
USA,2010,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20,Lacerations to left foot,N,other,6
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,Rescuing,F,58,Minor laceration to leg,N,20 to 30kg shark,5
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,Swimming,F,60,Severe lacerations to left foot,N,20 to 30kg shark,5
AUSTRALIA,2010,New South Wales,Point Plomer,Surfing,M,0,Superficial lacerations to lower left leg,N,other,5
MADAGASCAR,2010,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,59,Lacerations to arm & chest,N,other,5
USA,2010,Florida,New Smyrna Beach,Wading,F,10,Minor puncture wounds to right ankle,N,4' shark,5
USA,2010,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,"No injury, surfboard bitten",N,14' shark,4
SOUTH AFRICA,2010,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,Both feet bitten,N,2 m shark,4
EGYPT,2010,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,24,Lacerations to left ankle and foot,N,"Oceanic whitetip shark, 6'",4
REUNION,2010,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",N,1.5 m shark,3
NEW ZEALAND,2010,South Island,Tahunanui Beach,Swimming,M,0,Bruised but otherwise unhurt,N,Possibly a blue shark,2
SOUTH AFRICA,2010,Eastern Cape Province,Yellow Sands Point,Surfing,M,0,Lacerations to right leg,N,3 m shark,2
FIJI,2010,Off Vanua Levu,Nara Reef,Scuba diving,M,19,FATAL,Y,other,2
AUSTRALIA,2010,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,N,2 m shark,2
AUSTRALIA,2010,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg",N,"Wobbegong shark, 1.6m",2
AUSTRALIA,2010,New South Wales,Turners' Beach,Body boarding,M,18,"No injury, shark & board collided",N,"White shark, 2.5m",2
USA,2010,Florida,"Stuart, Martin County",Kite Boarding,M,38,FATAL,Y,other,2
BRAZIL,2010,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,29,Foot bitten,N,Thought to involve a juvenile hammerhead shark,1
AUSTRALIA,2010,Queensland,Archie's Beach,Surfing,M,0,"No injury, surfboard bitten",N,other,1
UNITED ARAB EMIRATES (UAE),2010,Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,Laceration to bottom of foot,N,other,1
AUSTRALIA,2010,Victoria,Geelong,Surfing,M,0,Lacerations to right hand ,N,other,1
SOUTH AFRICA,2010,Western Province,Fish Hoek,Standing,M,37,FATAL,Y,White shark,1
AUSTRALIA,2010,Torres Strait,Thursday Island,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,"Whitetip reef shark, 1m",1
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,other,F,0,Minor injuries,N,other,1
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,other,M,0,Right wrist bitten,N,other,1
VIETNAM,2010,Binh Dinh Province,Quy Nhon ,Bathing,M,0,Left arm bitten twice,N,other,1
USA,2010,Florida,Elliot Key,Spearfishing,M,32,Lacerations to  arm,N,other,1
SOUTH AFRICA,2010,Eastern Province,"Nahoon, East London",Surfing,M,0,"No injury, reportedly knocked of his board by a shark",N,other,1
SOUTH AFRICA,2009,Eastern Cape  Province,Port Alfred,Wading,M,20,Lacerations to  left foot,N,other,12
MOZAMBIQUE,2009,Maputo Province,Ponta do Ouro,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,"Zambesi shark, 2m ",12
AUSTRALIA,2009,Queensland,Lamont Reef,Spearfishing,M,18,Lacerations to hand & forearm,N,"Bull shark, 3m",12
SOUTH AFRICA,2009,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,22,FATAL,Y,other,12
NEW ZEALAND,2009,South Island,Clark Island,Swimming to shore from capsized kayak,M,24,FATAL,Y,"White shark, 2.8 to 3 m ",12
AUSTRALIA,2009,New South Wales,Coffee Head,Surfing,M,39,Laceration to big toe,N,other,12
